Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"RELAY_CTRL1","OffPage","12_RALAY_CONTROL","12","ITR-201C_MB","R125.1","360","440","4C","6"
"RELAY_CTRL1","OffPage","06_CPLD","6","ITR-201C_MB","U3.71","1200","770","2B","12"
"CPU_TXD0","OffPage","15_OTHERS","15","ITR-201C_MB","U25.11","130","280","5C","4"
"CPU_TXD0","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.160","1080","470","2C","15"
"RELAY_CTRL2","OffPage","12_RALAY_CONTROL","12","ITR-201C_MB","R130.1","360","750","4B","6"
"RELAY_CTRL2","OffPage","06_CPLD","6","ITR-201C_MB","U3.70","1200","780","2B","12"
"IO_LCD_VLED","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U22.12","380","200","4D","6"
"IO_LCD_VLED","OffPage","06_CPLD","6","ITR-201C_MB","U3.102","1230","340","2C","14"
"LVDS_PWEN","OffPage","07_LVDS","7","ITR-201C_MB","R43.2","1320","610","1B","6"
"LVDS_PWEN","OffPage","06_CPLD","6","ITR-201C_MB","U3.101","1230","350","2C","7"
"RELAY_CTRL3","OffPage","12_RALAY_CONTROL","12","ITR-201C_MB","R129.1","360","790","4B","6"
"RELAY_CTRL3","OffPage","06_CPLD","6","ITR-201C_MB","U3.69","1200","790","2B","12"
